,ea_id,obs_year,obs_monthnum,mzprice_lag1,mzprice_lag2,mzprice_lag3,mzprice_lag4,mzprice_lag5,mzprice_lag6,mzprice_lag7,mzprice_lag8,mzprice_lag9,mzprice_lag10,mzprice_lag11,mzprice_lag12
1794,30711637,2019,11,240.1172637939453,228.35882568359375,235.93406677246094,189.93914794921875,163.32998657226562,140.82684326171875,180.82876586914062,293.39093017578125,330.58551025390625,327.744140625,161.59124755859375,141.79443359375
1795,30711684,2010,3,34.42572784423828,33.51963424682617,40.34220886230469,47.16477584838867,45.18532180786133,44.42229461669922,43.65926742553711,42.896244049072266,42.13322448730469,34.399925231933594,38.92731475830078,52.26478958129883
1796,30711684,2010,4,37.5344352722168,34.42572784423828,33.51963424682617,40.34220886230469,47.16477584838867,45.18532180786133,44.42229461669922,43.65926742553711,42.896244049072266,42.13322448730469,34.399925231933594,38.92731475830078
1797,30711685,2016,7,239.59422302246094,193.9902801513672,145.36416625976562,196.30242919921875,218.8394012451172,239.8292999267578,196.7742919921875,159.61566162109375,159.91390991210938,156.6793975830078,150.16722106933594,139.03536987304688
1798,30712638,2019,10,241.81101989746094,240.5015106201172,189.9400634765625,163.32998657226562,145.05584716796875,182.0859375,288.7845458984375,328.81414794921875,335.5353088378906,165.98837280273438,143.75254821777344,143.34844970703125
1799,30713639,2020,4,196.50869750976562,190.1275634765625,200.0,301.1854553222656,280.12811279296875,246.27850341796875,244.2853546142578,240.50067138671875,189.93992614746094,163.32998657226562,143.59347534179688,185.57058715820312
1800,30713640,2019,7,163.32998657226562,143.5090789794922,183.2652587890625,287.3264465332031,331.5296936035156,336.2132568359375,167.2247314453125,142.7338409423828,146.78494262695312,142.59181213378906,139.4857177734375,126.99420166015625
1801,30720641,2020,1,304.4717712402344,275.044189453125,248.69564819335938,256.90277099609375,237.08901977539062,189.939453125,163.32998657226562,142.81446838378906,189.94956970214844,287.8917236328125,338.87139892578125,340.9115905761719
1802,30720666,2010,10,33.90852355957031,34.26803207397461,32.61488342285156,35.220001220703125,32.359737396240234,29.49947738647461,37.588077545166016,33.93830490112305,32.394989013671875,39.211483001708984,46.027976989746094,44.21510696411133
1803,30720686,2017,3,134.81533813476562,115.95134735107422,245.9764404296875,244.57298278808594,259.7171936035156,265.83984375,259.6786193847656,252.28582763671875,239.5704345703125,188.44403076171875,143.70809936523438,192.7647247314453
1804,30801205,2011,2,68.02085876464844,33.54999542236328,33.43230056762695,33.46464538574219,33.817604064941406,33.953773498535156,32.66862869262695,29.429994583129883,29.619709014892578,29.809419631958008,36.443260192871094,33.71687316894531
1805,30801205,2011,3,56.47560501098633,68.02085876464844,33.54999542236328,33.43230056762695,33.46464538574219,33.817604064941406,33.953773498535156,32.66862869262695,29.429994583129883,29.619709014892578,29.809419631958008,36.443260192871094
1806,30801300,2010,5,30.074844360351562,36.527862548828125,33.455970764160156,31.85979461669922,37.21861267089844,42.577430725097656,42.173675537109375,41.6179084777832,41.06214904785156,40.50639343261719,39.950626373291016,32.62986373901367
1807,30801305,2010,11,33.252471923828125,33.59605407714844,33.52156066894531,31.00379180908203,29.429994583129883,29.75228500366211,30.074567794799805,36.47041320800781,33.459903717041016,31.859912872314453,37.60633850097656,43.35276412963867
1808,30801386,2011,1,33.54999542236328,33.148868560791016,33.17616653442383,33.596153259277344,32.941776275634766,30.43663787841797,29.429994583129883,29.92550277709961,30.421001434326172,36.5352668762207,33.4554328918457,31.859638214111328
1809,30801631,2010,11,33.681068420410156,34.00407028198242,33.845733642578125,32.66742706298828,29.429994583129883,29.690160751342773,29.950319290161133,36.443294525146484,33.50355911254883,32.30008316040039,38.071258544921875,43.842430114746094
1810,30801642,2019,8,189.93898010253906,163.32998657226562,145.02294921875,178.27944946289062,278.0210876464844,324.3150634765625,330.00726318359375,170.27488708496094,146.85134887695312,140.76382446289062,145.0493621826172,140.36172485351562
1811,30801643,2020,3,193.24374389648438,200.0,310.9864196777344,282.6747741699219,249.1810302734375,245.07199096679688,245.3583526611328,189.93910217285156,163.32998657226562,145.28392028808594,176.744140625,286.3492431640625
