ea_id,panel
10201137,0
10201210,0
10201247,0
10201442,0
10202129,0
10202130,0
10202131,0
10202195,0
10203013,0
10203085,0
10203130,0
10203131,0
10203132,0
10203133,0
10203134,0
10203135,0
10203136,0
10203137,0
10203221,0
10203623,0
10204101,0
10204136,0
10204137,0
10204138,0
10204139,0
10204140,0
10204141,0
10204453,0
10204723,0
10205141,0
10205142,0
10205143,0
10205144,0
10205202,0
10205507,0
10220027,0
10220143,0
10220144,0
10220145,0
10220146,0
10220147,0
10220521,0
10301026,0
10301148,0
10301149,0
10301150,0
10301151,0
10301306,0
10301347,0
10301741,0
10302152,0
10302153,0
10303153,0
10303154,0
10303454,0
10304154,0
10304155,0
10304156,0
10304360,0
10304625,0
10305156,0
10305157,0
10305158,0
10306157,0
10306158,0
10306159,0
10306160,0
10306417,0
10306431,0
10307159,0
10307161,0
10308129,0
10308160,0
10308162,0
10309161,0
10309163,0
10309164,0
10309273,0
10309281,0
10310163,0
10310165,0
10310469,0
10312048,0
10312078,0
10312164,0
10312165,0
10312166,0
10312167,0
10312168,0
10312169,0
10312187,0
10312600,0
10320168,0
10320170,0
10320171,0
10320227,0
10401169,0
10401170,0
10401171,0
10401172,0
10401173,0
10401174,0
10401175,0
10401176,0
10401177,0
10401178,0
10401179,0
10401180,0
10401212,0
10401424,0
10401541,0
10401604,0
10401635,0
10401742,0
10402181,0
10402537,0
10403175,0
10403176,0
10403177,0
10403182,0
10403183,0
10403332,0
10403488,0
10404178,0
10404179,0
10404184,0
10404185,0
10404707,0
10405180,0
10405181,0
10405187,0
10405404,0
10407068,0
10407182,0
10407183,0
10407188,0
10407189,0
10407190,0
10407194,0
10407628,0
10408185,0
10408191,0
10408192,0
10408441,0
10409186,0
10409468,0
10410187,0
10420001,0
10420035,0
10420080,0
10420188,0
10420189,0
10420193,0
10420194,0
10420195,0
10501055,0
10501190,0
10501191,0
10501192,0
10501196,0
10501197,0
10501198,0
10501199,0
10501216,0
10502043,0
10502193,0
10502194,0
10502195,0
10502196,0
10502197,0
10502200,0
10502201,0
10502202,0
10502203,0
10502439,0
