ea_id,lsms_distroad,lsms_distpopctr,lsms_distadmarc,lsms_distauc,lsms_distboma,lsms_distborder,lsms_agpct,lsms_lcvr,lsms_aez,lsms_elev,weight,pweight,hh_members,pop,panelpop,wave
20401329,10.9375,42.4375,9.5625,42.4375,31.4375,92.375,51,30,322,1259.375,8161.22412109375,0,64,522318.34,0,3
20402330,10.25,33.8125,3.625,79.5,51.3125,82.375,32.375,61.25,312,1105.625,8440.634765625,0,59,497997.44,0,3
20402331,4.6875,35.25,12.875,76,55.75,75.5625,7.125,130,312,1051.875,9324.8466796875,0,65,606115.06,0,3
20402332,14.3125,45.5625,3.25,69.8125,39.6875,94,23.5625,98.75,312,1176.875,7533.125,0,73,549918.13,0,3
20402333,12.0625,44.875,10.4375,68.4375,53.625,80.0625,25.25,66.25,312,1074.375,3856.048095703125,0,89,343188.28,0,3
20402334,0,51.6875,5.6875,59.3125,37.75,93.75,26.0625,123.75,312,1156.875,9174.0029296875,0,81,743094.25,0,3
20403335,19.875,50.125,6.5625,67.125,57.125,75,16.25,91.875,312,1055,8144.576171875,0,73,594554.06,0,3
20403336,16.125,50.5,5.5625,50.5,41.5625,84.0625,42.75,30,312,1158.125,5431.1982421875,0,64,347596.69,0,3
20403337,26.8125,46.5625,5,46.5625,46.6875,76.625,22.6875,105,312,1122.5,8175.47216796875,0,86,703090.63,0,3
20403338,19.3125,36.8125,1.5,36.8125,36.75,86.6875,27.875,48.75,321.375,1212.5,5193.63525390625,0,59,306424.47,0,3
20404032,.1,31.950001,14.3,50.200001,32.049999,75.650002,26.5,90,312,906.5,29557.72744759122,18361.10172316726,103,3044446,1891193.5,3
20404339,10.0625,44.1875,11.5625,51.25,16.9375,90.125,10.75,130,312,1000,3179.7119140625,0,70,222579.83,0,3
20404340,3.875,40.25,8.25,48.3125,19.25,83.625,10.625,130,312,1016.25,5500.43017578125,0,69,379529.69,0,3
20404341,3.375,24.0625,12.8125,59,35.5,76.375,7.375,130,312,664.375,21558.90625,0,62,1336652.3,0,3
20404342,.875,18.5625,8.0625,61.25,41.0625,71.6875,14.6875,111.25,312,607.5,12005.484375,0,79,948433.25,0,3
20404575,5.2272725,33.5,14.545455,45.954544,28.90909,70.590912,8.545455,125.45454,312,850.45453,52106.00702791469,30152.26891137773,121,6304827,3648424.5,3
20405343,2.125,32.75,9.3125,32.75,8.625,93.9375,8.125,130,322,1284.375,8786.7451171875,0,55,483270.97,0,3
20405344,5.1875,30.0625,10.5,30.0625,12.5625,83,11.75,130,312,1128.125,7239.8818359375,0,62,448872.69,0,3
20405345,.75,36.0625,4.9375,36.0625,16.0625,78.5,24.1875,111.25,316.375,1168.75,12132.068359375,0,67,812848.56,0,3
20406346,.25,53,11.9375,53,14.375,107.75,27.0625,67.5,322,1498.125,3336.001708984375,0,79,263544.13,0,3
20406347,14.0625,47.0625,15.125,53.6875,16.8125,94.25,25.25,86.25,312,946.875,5791.83203125,0,66,382260.91,0,3
20406348,.1875,39.3125,1.6875,39.3125,1.375,95.125,28.5625,55,322,1375,5791.54541015625,0,56,324326.53,0,3
20407349,2.4375,44.25,4.25,44.25,19.0625,107,19.6875,98.75,322,1294.375,9755.8896484375,0,79,770715.31,0,3
20407398,2.1153846,38.076923,5,38.076923,19.846153,103.26923,31.192308,49.23077,322,1348.4615,56920.34574016022,30381.66478529348,153,8708813,4648394.5,3
20407481,.8888889,52.833332,3.6666667,53.277779,27.888889,103.27778,24.111111,68.888885,313.66666,1195,36593.46734439286,21243.8240163832,102,3732533.8,2166870,3
20421350,1,51,5,51,24.9375,106.8125,15.375,126.25,312,1204.375,5358.26708984375,0,57,305421.22,0,3
20501351,13.8125,13.9375,13.9375,91.8125,13.9375,77,51.6875,30,312,508.125,5593.7041015625,0,75,419527.81,0,3
20501352,8.0625,9.375,8.5,83.6875,9.375,66.9375,31.75,36.25,312,490,3618.53271484375,0,69,249678.75,0,3
20501353,12,13.5625,12.6875,86.9375,13.5625,65.9375,35.125,36.875,312,480,4658.7568359375,0,63,293501.69,0,3
20502354,1.25,15.75,8.6875,70.0625,15.75,78.875,18.125,70.625,312,538.75,5165.59033203125,0,74,382253.69,0,3
20502355,3,3.75,4.875,78.6875,3.75,73.8125,8,88.75,312,501.875,4623.16650390625,0,51,235781.48,0,3
20502356,.0625,6,5,73,6,71,15.125,117.5,312,520,2430.548828125,0,66,160416.22,0,3
20502357,6,14.9375,6.1875,62.875,14.9375,65.25,17.375,130,312,578.125,4788.3330078125,0,54,258569.98,0,3
20503358,4.125,13.4375,12.4375,79.25,13.4375,58.625,22.625,31.875,312,489.375,5203.8544921875,0,55,286212,0,3
20504359,12.8125,19,3.875,62.125,19,54.875,29.1875,67.5,312,670.625,3222.318359375,0,67,215895.33,0,3
20504360,1.625,8.1875,6.3125,71.875,8.1875,62.5625,31.6875,86.25,312,529.375,5754.02099609375,0,58,333733.22,0,3
20505361,.6875,16.4375,12,75.625,16.4375,54.375,44.625,30,312,512.5,2631.88330078125,0,65,171072.42,0,3
20505362,5,18.125,17.0625,82.125,18.125,56.0625,55.9375,30,312,480,1961.01123046875,0,71,139231.8,0,3
20505363,0,28.6875,22,79.8125,28.6875,44.4375,41.625,30,312,497.5,5693.25927734375,0,92,523779.84,0,3
20506364,2.25,36.3125,15.3125,84.0625,36.3125,39.9375,8.625,135,312,482.5,5055.73291015625,0,63,318511.19,0,3
20507365,1.0625,35.5625,9.8125,76.1875,35.5625,99.4375,32.25,48.75,312,528.125,4955.59033203125,0,62,307246.59,0,3
20507366,9.5,29.0625,2.5625,82.75,29.0625,97,25.3125,71.25,312,481.25,4528.6669921875,0,69,312478.03,0,3
20507367,5.125,26.3125,2.625,78.0625,26.3125,92.5625,22.8125,105,312,498.125,4817.9169921875,0,79,380615.44,0,3
20507368,9.0625,28.5625,7.875,62.375,28.5625,84.875,43.6875,48.75,312,616.25,4127.09619140625,0,58,239371.58,0,3
20507369,11.1875,23,7,82.9375,23,92,42.625,30,312,470,5000.859375,0,59,295050.69,0,3
20508349,.72000003,37.919998,11.36,75.720001,37.919998,100.68,46.880001,38,312,542.40002,65375.55075044416,30842.43563469733,168,10983093,5181529,3
20508370,13.0625,39.4375,17,57.9375,39.4375,91.1875,8.875,130,312,755,3713.7744140625,0,53,196830.05,0,3
20509371,16.4375,20.1875,14.3125,88.0625,20.1875,90.375,12.5,128.125,312,477.5,3740.206298828125,0,78,291736.09,0,3
20520372,.375,1.5625,2.375,76.1875,1.5625,70.25,5,130,312,503.75,3220.268798828125,0,68,218978.28,0,3
20520373,.6875,1.8125,.9375,78.6875,1.8125,69.625,18.5,86.25,312,501.25,4943.38232421875,0,66,326263.22,0,3
20521374,1.4375,22.25,18.3125,79.625,22.25,51.0625,35.8125,30,312,482.5,6312.98876953125,0,65,410344.28,0,3
20601375,6,21.5,4,21.5,21.5,57.4375,53.25,30,312,1145,27383.044921875,0,69,1889430.1,0,3
20601376,9.9375,25.8125,6.5625,25.8125,25.8125,54.125,12.625,130,312,1162.5,11658.6171875,0,79,921030.75,0,3
20601377,18,28.8125,2,28.8125,28.8125,61.625,12.125,130,312,1190,10160.6962890625,0,68,690927.38,0,3
