ea_id,district,region
20206279,Nkhotakota,Central
20206280,Nkhotakota,Central
20206299,Nkhotakota,Central
20206300,Nkhotakota,Central
20206362,Nkhotakota,Central
20207281,Nkhotakota,Central
20207282,Nkhotakota,Central
20220038,Nkhotakota,Central
20220153,Nkhotakota,Central
20220283,Nkhotakota,Central
20220301,Nkhotakota,Central
20220302,Nkhotakota,Central
31101009,Nsanje,South
31101399,Nsanje,South
31101709,Nsanje,South
31101710,Nsanje,South
31101759,Nsanje,South
31101760,Nsanje,South
31102266,Nsanje,South
31102591,Nsanje,South
31102711,Nsanje,South
31102761,Nsanje,South
31104086,Nsanje,South
31104147,Nsanje,South
31104361,Nsanje,South
31104496,Nsanje,South
31104691,Nsanje,South
31104696,Nsanje,South
31104712,Nsanje,South
31104713,Nsanje,South
31104714,Nsanje,South
31104715,Nsanje,South
31104716,Nsanje,South
31104762,Nsanje,South
31104763,Nsanje,South
31104764,Nsanje,South
31104765,Nsanje,South
31104766,Nsanje,South
31104767,Nsanje,South
31104768,Nsanje,South
31105091,Nsanje,South
31105559,Nsanje,South
31105581,Nsanje,South
31105717,Nsanje,South
31105718,Nsanje,South
31105719,Nsanje,South
31105769,Nsanje,South
31105770,Nsanje,South
31105771,Nsanje,South
31106066,Nsanje,South
31106182,Nsanje,South
31106519,Nsanje,South
31106574,Nsanje,South
31106682,Nsanje,South
31106720,Nsanje,South
31106721,Nsanje,South
31106772,Nsanje,South
31106773,Nsanje,South
31106774,Nsanje,South
31106775,Nsanje,South
31106776,Nsanje,South
31107406,Nsanje,South
31107722,Nsanje,South
31107723,Nsanje,South
31107724,Nsanje,South
31107725,Nsanje,South
31107777,Nsanje,South
31108265,Nsanje,South
31108703,Nsanje,South
31108726,Nsanje,South
31108778,Nsanje,South
31109727,Nsanje,South
31109779,Nsanje,South
31110462,Nsanje,South
31110728,Nsanje,South
31110780,Nsanje,South
31120097,Nsanje,South
31120218,Nsanje,South
31120729,Nsanje,South
31120730,Nsanje,South
31120781,Nsanje,South
31120782,Nsanje,South
20901232,Ntcheu,Central
20901276,Ntcheu,Central
20901429,Ntcheu,Central
20901459,Ntcheu,Central
20901460,Ntcheu,Central
20901461,Ntcheu,Central
20902430,Ntcheu,Central
20902431,Ntcheu,Central
20902437,Ntcheu,Central
20902449,Ntcheu,Central
20902461,Ntcheu,Central
20902462,Ntcheu,Central
20902463,Ntcheu,Central
20902464,Ntcheu,Central
20903432,Ntcheu,Central
20903433,Ntcheu,Central
20903434,Ntcheu,Central
20903465,Ntcheu,Central
20903466,Ntcheu,Central
20903543,Ntcheu,Central
20903583,Ntcheu,Central
20904018,Ntcheu,Central
20904160,Ntcheu,Central
20904342,Ntcheu,Central
20904435,Ntcheu,Central
20904436,Ntcheu,Central
20904467,Ntcheu,Central
20904468,Ntcheu,Central
20904469,Ntcheu,Central
20904470,Ntcheu,Central
20904602,Ntcheu,Central
20905295,Ntcheu,Central
20905437,Ntcheu,Central
20905438,Ntcheu,Central
20905471,Ntcheu,Central
20906110,Ntcheu,Central
20906439,Ntcheu,Central
20906472,Ntcheu,Central
20906473,Ntcheu,Central
20906474,Ntcheu,Central
20906524,Ntcheu,Central
20906605,Ntcheu,Central
20907238,Ntcheu,Central
20907440,Ntcheu,Central
20907475,Ntcheu,Central
20908051,Ntcheu,Central
20908088,Ntcheu,Central
20908119,Ntcheu,Central
20908293,Ntcheu,Central
