ea_id,district,distnum
30506457,Blantyre,2
30506588,Blantyre,2
30506589,Blantyre,2
30506590,Blantyre,2
30506591,Blantyre,2
30506592,Blantyre,2
30506628,Blantyre,2
30506629,Blantyre,2
30506630,Blantyre,2
30506631,Blantyre,2
30506632,Blantyre,2
30506748,Blantyre,2
30507593,Blantyre,2
30507633,Blantyre,2
30507634,Blantyre,2
30507667,Blantyre,2
30508364,Blantyre,2
30508435,Blantyre,2
30508473,Blantyre,2
30508594,Blantyre,2
30508595,Blantyre,2
30508596,Blantyre,2
30508597,Blantyre,2
30508629,Blantyre,2
30508635,Blantyre,2
30508636,Blantyre,2
30508637,Blantyre,2
30508638,Blantyre,2
31531161,Blantyre,2
31531303,Blantyre,2
31531795,Blantyre,2
31531796,Blantyre,2
31531855,Blantyre,2
31531856,Blantyre,2
31532674,Blantyre,2
31532797,Blantyre,2
31532798,Blantyre,2
31532857,Blantyre,2
31533095,Blantyre,2
31533799,Blantyre,2
31533858,Blantyre,2
31534553,Blantyre,2
31534800,Blantyre,2
31534801,Blantyre,2
31534859,Blantyre,2
31535633,Blantyre,2
31535802,Blantyre,2
31535860,Blantyre,2
31535861,Blantyre,2
31536118,Blantyre,2
31536257,Blantyre,2
31536751,Blantyre,2
31536803,Blantyre,2
31536862,Blantyre,2
31536863,Blantyre,2
31537864,Blantyre,2
31538278,Blantyre,2
31539670,Blantyre,2
31539804,Blantyre,2
31539805,Blantyre,2
31539865,Blantyre,2
31539866,Blantyre,2
31540003,Blantyre,2
31540419,Blantyre,2
31540806,Blantyre,2
31540867,Blantyre,2
31541183,Blantyre,2
31541807,Blantyre,2
31541868,Blantyre,2
31544808,Blantyre,2
31544809,Blantyre,2
31544869,Blantyre,2
31545384,Blantyre,2
31546760,Blantyre,2
31546810,Blantyre,2
31546870,Blantyre,2
31547429,Blantyre,2
31547871,Blantyre,2
31548148,Blantyre,2
31548811,Blantyre,2
31548872,Blantyre,2
31548873,Blantyre,2
31549812,Blantyre,2
31550254,Blantyre,2
31550813,Blantyre,2
31551814,Blantyre,2
31551874,Blantyre,2
31552612,Blantyre,2
31552686,Blantyre,2
31552875,Blantyre,2
31553237,Blantyre,2
31553815,Blantyre,2
31553816,Blantyre,2
31553876,Blantyre,2
31554613,Blantyre,2
31554877,Blantyre,2
31555614,Blantyre,2
31555878,Blantyre,2
31001034,Chikwawa,3
31001092,Chikwawa,3
31001123,Chikwawa,3
31001228,Chikwawa,3
31001242,Chikwawa,3
31001333,Chikwawa,3
31001647,Chikwawa,3
31001687,Chikwawa,3
31001688,Chikwawa,3
31001689,Chikwawa,3
31001690,Chikwawa,3
31001691,Chikwawa,3
31001692,Chikwawa,3
31001735,Chikwawa,3
31001736,Chikwawa,3
31001737,Chikwawa,3
31001738,Chikwawa,3
31001739,Chikwawa,3
31001740,Chikwawa,3
31001741,Chikwawa,3
31001742,Chikwawa,3
31001749,Chikwawa,3
31002169,Chikwawa,3
31002245,Chikwawa,3
31002677,Chikwawa,3
31002693,Chikwawa,3
31002694,Chikwawa,3
31002695,Chikwawa,3
31002743,Chikwawa,3
31002744,Chikwawa,3
31003100,Chikwawa,3
31003226,Chikwawa,3
31003482,Chikwawa,3
31003696,Chikwawa,3
31003697,Chikwawa,3
31003698,Chikwawa,3
31003745,Chikwawa,3
31003746,Chikwawa,3
31003747,Chikwawa,3
31003748,Chikwawa,3
31003749,Chikwawa,3
31003759,Chikwawa,3
31004098,Chikwawa,3
31004699,Chikwawa,3
31004750,Chikwawa,3
31004751,Chikwawa,3
31005061,Chikwawa,3
31005700,Chikwawa,3
31005701,Chikwawa,3
31005752,Chikwawa,3
31006284,Chikwawa,3
31006556,Chikwawa,3
31006702,Chikwawa,3
31006753,Chikwawa,3
31006754,Chikwawa,3
31007335,Chikwawa,3
31007544,Chikwawa,3
31007549,Chikwawa,3
31007645,Chikwawa,3
31007703,Chikwawa,3
31007704,Chikwawa,3
31007705,Chikwawa,3
31007755,Chikwawa,3
31007756,Chikwawa,3
31007757,Chikwawa,3
31008706,Chikwawa,3
31010707,Chikwawa,3
31020708,Chikwawa,3
31020758,Chikwawa,3
30401015,Chiradzulu,4
30401062,Chiradzulu,4
30401178,Chiradzulu,4
30401397,Chiradzulu,4
30401553,Chiradzulu,4
30401554,Chiradzulu,4
30401555,Chiradzulu,4
30401556,Chiradzulu,4
30401591,Chiradzulu,4
30401592,Chiradzulu,4
30401593,Chiradzulu,4
30401594,Chiradzulu,4
30402291,Chiradzulu,4
30402402,Chiradzulu,4
30402515,Chiradzulu,4
30402557,Chiradzulu,4
30402558,Chiradzulu,4
30402559,Chiradzulu,4
30402560,Chiradzulu,4
30402570,Chiradzulu,4
30402595,Chiradzulu,4
30402596,Chiradzulu,4
30402597,Chiradzulu,4
30402598,Chiradzulu,4
30402599,Chiradzulu,4
30402669,Chiradzulu,4
30403185,Chiradzulu,4
30403225,Chiradzulu,4
30403261,Chiradzulu,4
30403444,Chiradzulu,4
30403558,Chiradzulu,4
30403561,Chiradzulu,4
30403562,Chiradzulu,4
30403563,Chiradzulu,4
30403600,Chiradzulu,4
30403601,Chiradzulu,4
30403602,Chiradzulu,4
30403603,Chiradzulu,4
30403604,Chiradzulu,4
30403605,Chiradzulu,4
30403606,Chiradzulu,4
30403699,Chiradzulu,4
30403766,Chiradzulu,4
30404093,Chiradzulu,4
30404458,Chiradzulu,4
30404493,Chiradzulu,4
30404564,Chiradzulu,4
30404565,Chiradzulu,4
30404566,Chiradzulu,4
30404567,Chiradzulu,4
30404607,Chiradzulu,4
30404608,Chiradzulu,4
30404609,Chiradzulu,4
30405568,Chiradzulu,4
30405588,Chiradzulu,4
30405610,Chiradzulu,4
30406125,Chiradzulu,4
30406378,Chiradzulu,4
30406569,Chiradzulu,4
30406611,Chiradzulu,4
30406612,Chiradzulu,4
30407570,Chiradzulu,4
30407571,Chiradzulu,4
30407572,Chiradzulu,4
30408573,Chiradzulu,4
30409574,Chiradzulu,4
30420223,Chiradzulu,4
30420614,Chiradzulu,4
10101016,Chitipa,5
10101100,Chitipa,5
10101101,Chitipa,5
10101102,Chitipa,5
10101103,Chitipa,5
10101104,Chitipa,5
10101105,Chitipa,5
10101106,Chitipa,5
10101107,Chitipa,5
10101108,Chitipa,5
10101204,Chitipa,5
10101215,Chitipa,5
10101219,Chitipa,5
10101355,Chitipa,5
10101374,Chitipa,5
10101470,Chitipa,5
10101562,Chitipa,5
10101568,Chitipa,5
10101706,Chitipa,5
10102004,Chitipa,5
10102107,Chitipa,5
10102108,Chitipa,5
10102109,Chitipa,5
10102110,Chitipa,5
10102111,Chitipa,5
10102112,Chitipa,5
10102379,Chitipa,5
10102621,Chitipa,5
10103111,Chitipa,5
10103112,Chitipa,5
10103113,Chitipa,5
10103114,Chitipa,5
10103115,Chitipa,5
10103414,Chitipa,5
10103452,Chitipa,5
10103681,Chitipa,5
10104116,Chitipa,5
10104117,Chitipa,5
10104118,Chitipa,5
10104150,Chitipa,5
10104351,Chitipa,5
10104440,Chitipa,5
10105114,Chitipa,5
10105115,Chitipa,5
10105119,Chitipa,5
10105120,Chitipa,5
10105121,Chitipa,5
10105352,Chitipa,5
10105511,Chitipa,5
10105513,Chitipa,5
10106116,Chitipa,5
10106117,Chitipa,5
10107118,Chitipa,5
10109119,Chitipa,5
10109120,Chitipa,5
10109121,Chitipa,5
10120122,Chitipa,5
10120123,Chitipa,5
10120286,Chitipa,5
10120288,Chitipa,5
10202195,Chitipa,5
20801046,Dedza,6
20801208,Dedza,6
20801271,Dedza,6
20801356,Dedza,6
20801407,Dedza,6
20801408,Dedza,6
20801409,Dedza,6
20801410,Dedza,6
20801411,Dedza,6
20801435,Dedza,6
20801436,Dedza,6
20801437,Dedza,6
20801438,Dedza,6
20801439,Dedza,6
20801497,Dedza,6
20802019,Dedza,6
20802041,Dedza,6
20802412,Dedza,6
20802413,Dedza,6
20802440,Dedza,6
20802441,Dedza,6
20802501,Dedza,6
20803155,Dedza,6
20803156,Dedza,6
20803414,Dedza,6
20803415,Dedza,6
20803416,Dedza,6
20803417,Dedza,6
20803442,Dedza,6
20803443,Dedza,6
20803444,Dedza,6
20803445,Dedza,6
20803446,Dedza,6
20803503,Dedza,6
20803599,Dedza,6
20803731,Dedza,6
20804405,Dedza,6
20804418,Dedza,6
20804419,Dedza,6
20804420,Dedza,6
20804447,Dedza,6
20804448,Dedza,6
20804449,Dedza,6
20804768,Dedza,6
20805345,Dedza,6
20805450,Dedza,6
20806131,Dedza,6
20806421,Dedza,6
20806422,Dedza,6
20806423,Dedza,6
20806451,Dedza,6
20806452,Dedza,6
20806546,Dedza,6
20806716,Dedza,6
20807424,Dedza,6
20807425,Dedza,6
20807426,Dedza,6
20807453,Dedza,6
20807454,Dedza,6
