enum_old,population,enum
10303002,1814.489226,10303102
10303003,2780.355074,10303103
10303004,1955.648458,10303104
10303005,1336.461911,10303105
10303006,2089.752518,10303106
10304001,2414.969814,10304101
10304002,1230.161551,10304102
10304003,1801.912298,10304103
10304004,1217.228133,10304104
10304005,2251.904515,10304105
10304006,1545.745916,10304106
10304007,1668.892555,10304107
10304008,829.6337126,10304108
10304009,1289.505911,10304109
10304010,436.9178929,10304110
10304801,4778.532151,10304901
10304802,2828.501789,10304902
10304803,3548.883827,10304903
10304902,205.8310077,10305002
10305001,1549.320841,10305101
10305002,3769.414699,10305102
10305003,767.5167871,10305103
10305004,3526.819014,10305104
10305005,977.6505778,10305105
10305006,2925.288304,10305106
10305901,394.035516,10306001
10305902,1581.684853,10306002
10305903,1419.233007,10306003
10305906,3.379206154,10306006
10306001,3341.595303,10306101
10306002,3276.764125,10306102
10306003,2672.176944,10306103
10306004,2268.459738,10306104
10306005,2706.003983,10306105
10306006,1782.211563,10306106
10306007,942.709833,10306107
10306008,2842.325537,10306108
10306009,1435.30575,10306109
10306010,2208.253091,10306110
10306011,2854.124863,10306111
10306901,466.115213,10307001
10307001,2596.403875,10307101
10307002,2266.920501,10307102
10307003,1494.663692,10307103
10307004,3744.118278,10307104
10307005,1386.134738,10307105
10307006,2117.201887,10307106
10307902,101.8272766,10308002
10308001,3090.155038,10308101
10308002,1914.80402,10308102
10308003,1963.023916,10308103
10308004,2345.227285,10308104
10308005,1861.844047,10308105
10308006,2259.73307,10308106
10308901,80.7293027,10309001
10309001,1670.935417,10309101
10309002,1867.113883,10309102
10309003,1606.202554,10309103
10309004,4449.204307,10309104
10309005,1967.593218,10309105
10309006,3339.905084,10309106
10309801,2070.408106,10309901
10309802,1187.029109,10309902
10309803,1306.920247,10309903
10310001,3527.903136,10310101
10310002,1852.225478,10310102
10310003,1337.447859,10310103
10310801,1467.53072,10310901
10310902,941.5484526,10311002
10311001,2380.247659,10311101
10312001,2498.9168,10312101
10312002,3146.884668,10312102
10312003,3112.586429,10312103
10312004,2488.94858,10312104
10312005,4109.47805,10312105
10312006,2137.515542,10312106
10312007,2505.640203,10312107
10312008,2893.254882,10312108
10312009,2406.242993,10312109
10312010,3333.48733,10312110
10312011,1801.871724,10312111
10312012,4880.560504,10312112
10312013,3275.660224,10312113
10312014,1939.769901,10312114
10312015,961.8015057,10312115
10312016,673.6795033,10312116
10312017,1693.367005,10312117
10312901,337.2075343,10313001
10314001,1574.167074,10314101
10320701,2949.770917,10320801
10320702,1811.775892,10320802
10320703,1836.329161,10320803
10320704,1168.422053,10320804
10320705,2995.246487,10320805
10320706,921.6029332,10320806
10320707,2152.967534,10320807
10401001,2190.857848,10401101
10401002,1663.971483,10401102
10401003,2163.87702,10401103
10401004,1592.39681,10401104
10401005,1842.40439,10401105
10401006,1119.376437,10401106
10401007,3116.777944,10401107
10401008,2050.581583,10401108
10401009,3419.637503,10401109
10401010,3112.515019,10401110
10401011,2224.66763,10401111
10401012,2841.822066,10401112
10401013,2703.70347,10401113
10401014,942.5956565,10401114
10401015,1975.873397,10401115
10401016,2038.76557,10401116
10401017,2771.710073,10401117
10401018,1059.157056,10401118
10401019,1872.952133,10401119
10401020,1049.597502,10401120
10401021,2358.50176,10401121
10401022,1089.312776,10401122
10401023,1429.691235,10401123
10401024,213.6403989,10401124
10401025,1537.233631,10401125
10401026,2163.77283,10401126
10401027,1964.954997,10401127
10401028,1625.090229,10401128
10401029,2130.076244,10401129
10401030,1945.384832,10401130
10401031,2415.23583,10401131
10401032,1866.775688,10401132
10401033,1184.808005,10401133
10401034,1867.692364,10401134
10401035,2346.271056,10401135
10401036,1209.393023,10401136
10401037,1065.575476,10401137
10401038,1637.772278,10401138
10401801,1561.273902,10401901
10401802,2967.379398,10401902
10402001,2158.401598,10402101
10402002,1551.130249,10402102
10402003,1972.458591,10402103
10402004,1150.046682,10402104
10402005,1598.288229,10402105
10402006,846.9469078,10402106
10403001,937.949276,10403101
10403002,2836.345565,10403102
10403003,2078.673402,10403103
10403004,1664.921673,10403104
10403005,1492.560755,10403105
10403006,2823.691236,10403106
10403007,2351.862424,10403107
10403801,1083.768994,10403901
10404001,1799.337967,10404101
10404002,2418.294154,10404102
10404003,1042.581746,10404103
10404004,1214.11053,10404104
10404005,1414.691697,10404105
10404006,3259.940613,10404106
10404007,3331.018582,10404107
10404008,1396.41379,10404108
10404009,1908.150096,10404109
10404010,1655.806358,10404110
10404011,1469.120146,10404111
10404801,2452.10289,10404901
10404802,882.695884,10404902
10404901,588.6863312,10405001
10405001,2840.732521,10405101
10405002,1980.124291,10405102
10405003,1197.923685,10405103
10405004,1566.013068,10405104
10405005,1679.669224,10405105
10405006,2130.874998,10405106
10406001,1655.564283,10406101
10406002,1782.309926,10406102
10407001,1500.479402,10407101
10407002,4008.681893,10407102
10407003,1776.711268,10407103
10407004,2023.248411,10407104
10407005,1080.21516,10407105
10407006,2989.31245,10407106
10407007,2216.629961,10407107
10407008,2293.580113,10407108
10407009,2347.270079,10407109
10407010,2432.322233,10407110
10407011,2846.163054,10407111
10407901,1.868774008,10408001
10408001,1894.679048,10408101
10408002,1193.736321,10408102
10408003,2848.494971,10408103
10408004,2605.619496,10408104
10408005,1896.207694,10408105
10408006,2699.102158,10408106
10408007,1908.992803,10408107
10408801,1277.761011,10408901
10409001,3216.772096,10409101
10409002,1454.564977,10409102
10409003,1282.27905,10409103
10410901,521.1363001,10411001
10411901,260.5544701,10412001
10420701,1753.85471,10420801
10420702,2331.091786,10420802
10420703,1946.029768,10420803
10420704,1621.075518,10420804
10420705,2232.136494,10420805
10420706,2265.987167,10420806
10420707,2611.083241,10420807
10420708,2146.366604,10420808
10420709,2137.794657,10420809
10420710,3083.419104,10420810
10501001,2275.213927,10501101
10501002,3099.214197,10501102
10501003,1823.427014,10501103
10501004,1885.616447,10501104
10501005,1728.319659,10501105
10501006,2243.110328,10501106
10501007,2065.306904,10501107
10501008,2092.768524,10501108
10501009,1914.661018,10501109
10501010,3039.542183,10501110
10501011,1202.492418,10501111
10501012,1309.288733,10501112
10501013,1742.802686,10501113
10501014,2096.852279,10501114
10501015,2601.615333,10501115
10501016,2412.351391,10501116
10501017,2229.426598,10501117
10501018,2612.764588,10501118
10501019,3259.316802,10501119
10501020,2316.953576,10501120
10501021,3510.081426,10501121
10501022,2299.483695,10501122
10501023,2878.726381,10501123
10501024,1438.207364,10501124
10501025,2027.257427,10501125
10501026,2084.864711,10501126
10501027,1990.650054,10501127
10501028,2742.205041,10501128
10501029,3086.682944,10501129
10501030,2066.276555,10501130
10501031,2106.0454,10501131
10501032,1557.242628,10501132
10501033,3027.204055,10501133
10501034,2410.47825,10501134
10501035,3416.700743,10501135
10501036,1565.366887,10501136
10501037,1075.960256,10501137
10501038,2469.473927,10501138
10501039,2340.806245,10501139
10501040,3127.175647,10501140
10501041,3555.4127,10501141
10501042,2997.220832,10501142
10501043,1557.699243,10501143
10501044,2642.417936,10501144
10501045,1960.245351,10501145
10501046,2562.875958,10501146
10501047,2951.461707,10501147
10501048,2470.892516,10501148
10501049,3033.130479,10501149
10501050,1475.169117,10501150
10501051,2078.936259,10501151
10501052,2476.283484,10501152
10501053,1781.450138,10501153
10501054,2536.601652,10501154
10501055,3560.843631,10501155
10501056,3087.171362,10501156
10501057,4241.389063,10501157
10501058,1816.296695,10501158
10501059,3360.710865,10501159
10501060,2388.53962,10501160
10501801,1353.484733,10501901
10502001,1576.380438,10502101
10502002,1875.505675,10502102
10502003,935.4698394,10502103
10502004,3005.060703,10502104
10502005,1060.533201,10502105
10502006,2883.64172,10502106
10502007,1371.555357,10502107
10502008,2693.089908,10502108
10502009,1124.039561,10502109
10502010,938.1929005,10502110
10502011,1438.68081,10502111
10502012,2018.271174,10502112
10502013,2706.339124,10502113
10502014,3347.710472,10502114
10502015,2170.778008,10502115
10502016,2082.196667,10502116
10502017,1796.875996,10502117
10502018,2085.607118,10502118
10502019,574.4758931,10502119
10502020,2296.472121,10502120
10502021,299.6165512,10502121
10502022,1795.211505,10502122
10502023,1597.354049,10502123
10502024,3505.784853,10502124
10502025,3151.452072,10502125
10502026,3747.209954,10502126
10502027,4235.625549,10502127
10502028,1969.753884,10502128
10502029,2844.979262,10502129
10502030,2883.60846,10502130
10502031,2176.714098,10502131
10502032,2825.501612,10502132
10502033,2552.691483,10502133
10502034,2525.288407,10502134
10502035,1969.04748,10502135
10502036,2469.677259,10502136
10502037,2186.029334,10502137
10502038,500.7275044,10502138
10502039,2383.747321,10502139
10502040,3199.896337,10502140
10502041,1844.774627,10502141
10502042,2419.933538,10502142
10502043,3087.5254,10502143
10502044,1731.340305,10502144
10502045,3134.521721,10502145
10502046,3124.908851,10502146
10502047,3158.117066,10502147
10502048,2056.039685,10502148
10502049,1784.418389,10502149
10502050,1767.287202,10502150
10502051,2398.242962,10502151
10502052,1217.021884,10502152
10502053,2155.137272,10502153
10502054,2472.497551,10502154
10502055,1502.897329,10502155
10502056,1072.763048,10502156
10502057,2143.098625,10502157
10502058,1286.334686,10502158
10502059,2534.245269,10502159
10502060,2283.682068,10502160
10502061,2624.592934,10502161
10502062,1709.277421,10502162
10502063,2051.733871,10502163
10502064,2981.60026,10502164
10502065,2172.239596,10502165
10502066,1994.682411,10502166
10502067,2295.635805,10502167
10502068,2369.196964,10502168
10502069,3261.483257,10502169
10502070,1255.210146,10502170
10502071,2646.26133,10502171
10502072,2697.775549,10502172
10502801,1279.314613,10502901
10502802,1813.295242,10502902
10502803,3244.181758,10502903
10502804,4751.530511,10502904
10502805,974.2451203,10502905
10502806,1506.70182,10502906
10502901,324.8393473,10503001
10502902,18.53172982,10503002
10502903,408.0049562,10503003
10503001,3167.704924,10503101
10503002,2451.671552,10503102
10503003,2000.088361,10503103
10503004,2462.648803,10503104
10503005,2252.316836,10503105
10503006,1683.959695,10503106
10503007,1306.606477,10503107
10503008,1849.938149,10503108
10503009,2159.649528,10503109
10503010,2235.732173,10503110
10503011,2077.243002,10503111
10503012,2343.835387,10503112
10503013,1943.191998,10503113
10503014,2342.884458,10503114
10503015,3012.543889,10503115
10503016,2805.561934,10503116
10503017,2160.565755,10503117
10503018,1676.6466,10503118
10503019,2709.246883,10503119
10503020,2329.872015,10503120
10503021,2092.373017,10503121
10503022,1449.200615,10503122
10503023,2557.124543,10503123
10503024,3138.051955,10503124
10503025,2339.681268,10503125
10503026,1950.199153,10503126
10503027,1646.325921,10503127
10503028,1218.158187,10503128
10503029,1720.994668,10503129
10503030,729.414844,10503130
10503031,2964.589133,10503131
10503801,720.8505796,10503901
10503901,776.0413911,10504001
10503907,764.8931061,10504007
10503908,1343.49912,10504008
10503909,227.3820727,10504009
10504001,2577.508034,10504101
10504002,1834.486431,10504102
10504003,2320.980437,10504103
10504004,2579.129996,10504104
10504005,3457.854902,10504105
10504006,1452.862228,10504106
10504007,1537.46301,10504107
10504008,1011.969905,10504108
10504801,1367.012173,10504901
10505001,3195.459656,10505101
10505002,2808.280781,10505102
10505003,4015.699741,10505103
10505004,2416.775425,10505104
10505005,3094.781635,10505105
10505006,1345.820307,10505106
10505007,2059.999293,10505107
10505008,2885.467598,10505108
10505009,1787.026138,10505109
10505010,1990.116528,10505110
10505011,3575.152453,10505111
10505012,2691.560302,10505112
10505013,3036.386494,10505113
10505014,2973.485619,10505114
10505015,3012.201774,10505115
10505016,3200.705877,10505116
10505017,2456.237724,10505117
10505018,2295.737963,10505118
10505019,3473.148344,10505119
10505020,2581.911096,10505120
10505021,3733.679696,10505121
10505022,2425.437003,10505122
10505023,3842.999945,10505123
10505024,3867.568035,10505124
10505025,2925.101851,10505125
10505026,2361.920995,10505126
10505027,2262.032857,10505127
10505028,2572.354401,10505128
10505029,2152.384913,10505129
10505030,3514.189339,10505130
10505031,2499.014854,10505131
10505032,2385.356975,10505132
10505033,2341.458201,10505133
10505034,2901.751734,10505134
10505035,3077.328248,10505135
10505036,2620.062526,10505136
10505037,3003.360134,10505137
10505038,3040.01167,10505138
10505039,2276.056105,10505139
10505040,1943.591333,10505140
10505041,2916.48342,10505141
10505042,2049.288257,10505142
10505043,5759.01274,10505143
10505044,1294.227358,10505144
10505045,2068.20594,10505145
10505046,6223.717711,10505146
10505047,5028.135276,10505147
10505048,2575.544316,10505148
10505049,2754.586014,10505149
10505050,2331.242139,10505150
10505051,2303.327363,10505151
10505052,3050.192574,10505152
10505053,3477.221525,10505153
10505054,3714.334635,10505154
10505801,2188.582131,10505901
10505802,1987.199056,10505902
10505803,2547.76932,10505903
10506001,1700.429843,10506101
10506002,2829.760959,10506102
10506003,1378.875912,10506103
10506004,2554.409433,10506104
10506005,1403.934147,10506105
10506006,2931.555144,10506106
10506007,1702.915146,10506107
10506008,974.1431919,10506108
10506009,1285.837238,10506109
10506010,2256.884585,10506110
10506011,1308.454374,10506111
10506012,2297.735478,10506112
10506013,3344.302893,10506113
10506014,3686.791487,10506114
10506015,2118.387734,10506115
10506016,1426.567826,10506116
10506017,2629.240161,10506117
10506018,2237.814086,10506118
10506019,1806.722877,10506119
10506020,2383.314253,10506120
10506021,2328.697218,10506121
10506022,2366.28759,10506122
10506023,1672.917021,10506123
10506024,2095.243063,10506124
10506025,1771.499591,10506125
10506026,1802.239252,10506126
10506027,2436.565622,10506127
10506028,1755.585558,10506128
10506029,6247.776534,10506129
10506030,1873.399855,10506130
10506031,1817.327155,10506131
10506032,1901.544922,10506132
10506033,1856.768726,10506133
10506034,1713.56044,10506134
10506035,2563.883671,10506135
10506036,2331.169634,10506136
10506802,439.1045024,10506902
